#key	synopsis
2020bb	No ano 2020, o baseball finalmente evoluiu. Não há mais baseball profissional convencional em 2020. O Baseball projetado pela Super Baseball Association foi muito popular e é o melhor esporte. No entanto, a verdade é que a associação usou uma soma colossal de dinheiro para promover o Super Baseball como show business. Eles manipularam a habilidade de cada jogador usando o computador de controle para decidir secretamente a vitória ou a derrota em cada jogo. Os jogadores que conheciam isso removeram as partes de conexão do computador para jogar seu próprio jogo de baseball. Finalmente, um jogo justo será jogado no Cyber Egg Stadium. Em 2020, o Super Baseball é um jogo acelerado com novas regras, onde você pode selecionar 1 de 12 homens, mulheres ou jogadores de robôs. Durante o jogo, você pode fortalecer sua equipe com os prêmios obtidos de capturas surpreendentes.
3countb	3 Count Bout é um jogo de luta individualizado. Escolha entre dez lutadores que têm seus próprios ataques de poder. Há dez rodadas no jogo, e cada uma delas tem lutado contra outros lutadores que são muito mais resistentes do que os anteriores. Você derrota cada um, mordendo, chutando e executando outros movimentos até o ponto em que seu medidor de dano está vazio. Mas só porque está vazio não significa que você ganhe. Você deve colocá-lo para a contagem infame-três. Também possui jogadas competitivas e batalhas de tag match.
abyssal	“Abyssal Infants” é uma grata surpresa no cenário homebrew do NeoGeo, criado por Kakoeimon. Este shoot 'em up horizontal gratuito traz uma combinação única de charme retrô com jogabilidade desafiadora. Os gráficos? Distintos e polarizadores — agradam alguns enquanto deixam outros confusos. A jogabilidade é implacavelmente difícil, sendo um prato cheio para fãs hardcore. Em resumo, “Abyssal Infants” se destaca como uma adição ousada à biblioteca do NeoGeo, provando que a beleza realmente pode estar nos olhos de quem vê.
alpham2	O pesadelo lunar da sangrenta guerra espacial de 200 anos pensava-se ter acabado no ALPHA MISSION &quot;original&quot;. Mas agora, com o advento de armas tecnicamente mais sofisticadas, o malvado &quot;Fulvar&quot; e sua &quot;Aliança Sete Estrelas&quot; voltaram a destruir todos os planetas que estão no caminho do alvo final ... Terra! Agora no ano de 2525! Sua missão como piloto do novo caça SYD-FX é usar todas as armas à sua disposição para livrar a galáxia de uma vez por todas do mal que agora domina e ameaça a Terra. Portanto, prepare-se, prenda a respiração e prepare-se para gráficos inacreditáveis e som estéreo que o levarão para o profundo, escuro espaço interior. Esteja preparado ... você pode nunca mais voltar!
androdun	A invasão de uma fonte de vida desconhecida está piorando. Ninguém sabe se a linha defensiva ou o coração da base inimiga está arruinada. Com a esperança do povo, o caça mais avançado será enviado para o espaço. Lute em sete etapas neste jogo de rolagem horizontal e derrote um chefe no final de cada uma. Você começa o jogo com quatro armas principais, das quais você pode trocar com o clique de um botão.
aodk	Aggressors of Dark Kombat é outro jogo de luta de rua mano-a-mano da biblioteca interminável de jogos de luta do Neo-Geo. Ele coloca 8 lutadores de diferentes estilos e forças um contra o outro em um torneio para ver quem é o mais casca grossa das ruas de Tóquio. Seu objetivo, como de costume, é acabar com a barra de vida de seu oponente dentro do limite de tempo, usando seus ataques básicos e movimentos especiais, evitando seus movimentos e ataques. Aggressors of Dark Kombat é único pois combina vários elementos tradicionais dos beat 'em ups horizontais, o que significa que os personagens podem se mover livremente em um espaço isométrico em vez de ficarem restritos a um único plano de movimento. Armas e itens jogáveis geralmente são jogados na arena pelas multidões e você pode pegá-los e usá-los para causar dano adicional. Além disso, as partidas são apenas de 1 rodada, com uma barra de saúde de várias camadas estendida que permite rodadas mais longas do que o normal.
aof	O enredo de Art of Fighting tem lugar em 1978. Ryo Sakazaki e Robert Garcia partem para encontrar a irmã de Ryo, Yuri, que foi sequestrada por Mr. Big. Mr. Big levou Yuri para atrair Takuma Sakazaki, pai de Ryo e criador do Karatê Kyokugen, e também porque Ryo se recusou a trabalhar para Big. Depois que Ryo e Robert derrotam Mr. Big, eles enfrentam o enigmático Mr. Karate. A história de Art of Fighting termina com uma reviravolta; Yuri está prestes a revelar a verdadeira identidade do Mr. Karate como sendo seu pai Takuma.
aof2	Nesta sequência do Art of Fighting original, e prequela para o Fatal Fury original, ficamos sabendo que o Mr. Karate, o chefe final do jogo original, por de trás da máscara, é realmente Takuma Sakazaki, pai de Ryo e Yuri, que estava sendo usado por Geese Howard para suas próprias más intenções, e que o Mr. Big foi quem havia sequestrado Yuri. Muitos dos problemas que existiam no primeiro jogo foram corrigidos nesta edição (é mais fácil executar movimentos especiais, você não tem mais apenas Ryo ou Robert para escolher no modo 1 jogador, etc.). Todo o elenco do primeiro Art of Fighting está aqui (com as exceções de Todo e Mr. Karate), junto com alguns novos personagens: Takuma Sakazaki, pai de Ryo e Yuri; Yuri Sakazaki, filha de Takuma e irmã de Ryo; Eiji Kisaragi, um inimigo jurado dos Sakazakis; Temjin, um caminhoneiro mongol; e uma versão mais nova de Geese Howard, a quem você enfrenta como o último chefe se você vencer o jogo sem perder uma rodada.
aof3	Neste terceiro e último ato da série Art of Fighting, a história muda de Ryo Sakazaki para seu melhor amigo e rival, Robert Garcia, quando ele se aventura no México para tentar localizar Freia Lawrence, uma amiga de infância, que pediu sua ajuda. No entanto, ele deixa sem o consentimento da Fundação Garcia, que envia um agente chamado Karman Cole para recuperá-lo. Mas nem tudo é tão simples como parece ... porque Robert não é o único a procurar por Freia. Art of Fighting 3: The Path of The Warrior (O Caminho do Guerreiro) possui dez personagens jogáveis com diferentes estilos de luta, um sistema de luta completamente novo baseado em combinações de joystick e botão, e gráficos e animações incrivelmente detalhados.
b2b	Depois de escolher o seu personagem favorito (Lazy ou Refia), você chega para uma atração cinemática com nossos heróis em sua nave espacial, pousando no planeta Palua. Sete zonas aguardam jogadores, divididas em vários níveis. Gelo, florestas verdes, imponentes cachoeiras, castelos, montanhas do mal, pirâmides egípcias ... Que mundo! Com tanta diversidade, não há necessidade de dizer que os cenários são variados e os gráficos exóticos!
